PROJECT_ID,LATIN_NAME,STATION_CODE,STATION_NAME,LONGITUDE,LATITUDE,PARAM,N,Conc,SPECIES_ID,TISSUE_NAME,NIVA_CODE,trend
3699,Mytilus edulis,I965,Moholmen, Inner Ranfjord,14.12537,66.31162,HG,NA,0.01,17,Whole soft body,SB,1
3699,Mytilus edulis,I969,Bjørnbærviken,  Inner Ranfjord,14.0349,66.28022,HG,NA,0.007,17,Whole soft body,SB,1
3699,Mytilus edulis,10A2,Skallnes, Outer Varangerfjord,30.341745,70.137283,PB,NA,0.12,17,Whole soft body,SB,3
3699,Mytilus edulis,11X,Brashavn, Outer Varangerfjord,29.741,69.8993,PB,NA,0.058,17,Whole soft body,SB,1
3699,Mytilus edulis,15A,Gåsøya-Ullerøya, Farsund,6.9159,58.04605,PB,NA,0.21,17,Whole soft body,SB,1
3699,Mytilus edulis,22A,Espevær, Outer Bømlafjord,5.15203,59.58711,PB,NA,0.18,17,Whole soft body,SB,3
3699,Mytilus edulis,26A2,Vågsvåg, Outer Nordfjord,5.04878333333333,61.9362166666667,PB,NA,0.23,17,Whole soft body,SB,1
3699,Mytilus edulis,28A2,NA,NA,NA,PB,NA,0.19,17,Whole soft body,SB,0
3699,Mytilus edulis,30A,Gressholmen,  Inner Oslofjord,10.711,59.88362,PB,NA,0.9,17,Whole soft body,SB,2
3699,Mytilus edulis,31A,Solbergstrand, Mid Oslofjord,10.6515,59.6155,PB,NA,0.17,17,Whole soft body,SB,1
3699,Mytilus edulis,35A,Mølen, Mid Oslofjord,10.49499,59.48359,PB,NA,0.12,17,Whole soft body,SB,3
3699,Mytilus edulis,36A,Færder, Outer Oslofjord,10.525,59.0274,PB,NA,0.13,17,Whole soft body,SB,0
3699,Mytilus edulis,52A,Eitrheimsneset, Inner Sørfjord,6.532933,60.096771,PB,NA,1.9,17,Whole soft body,SB,1
3699,Mytilus edulis,57A,Krossanes, Outer Sørfjord,6.689524,60.387073,PB,NA,0.54,17,Whole soft body,SB,1
3699,Mytilus edulis,63A,Ranaskjer, Ålvik, Hardangerfjord,6.40502,60.42096,PB,NA,0.34,17,Whole soft body,SB,3
3699,Mytilus edulis,64A,Utne, Outer Sørfjord,6.6223,60.4239,PB,NA,0.25,17,Whole soft body,SB,1
3699,Mytilus edulis,65A,Vikingneset, Mid Hardangerfjord,6.15266666666667,60.2423333333333,PB,NA,0.32,17,Whole soft body,SB,1
3699,Mytilus edulis,69A,Terøya, Outer Hardangerfjord,5.7545,59.984,PB,NA,0.13,17,Whole soft body,SB,3
3699,Mytilus edulis,71A,Bjørkøya, Langesundfjord,9.75366666666667,59.0233333333333,PB,NA,0.43,17,Whole soft body,SB,1
3699,Mytilus edulis,76A2,Risøya, Risør,9.28104,58.7327,PB,NA,0.21,17,Whole soft body,SB,1
3699,Mytilus edulis,91A2,Ørland area, Outer Trondheimsfjord,9.56386,63.651438,PB,NA,0.19,17,Whole soft body,SB,1
3699,Mytilus edulis,97A2,Mjelle, Bodø area,14.621928,67.41271,PB,NA,1.3,17,Whole soft body,SB,1
3699,Mytilus edulis,97A3,NA,NA,NA,PB,NA,0.23,17,Whole soft body,SB,0
3699,Mytilus edulis,98A2,Svolvær airport area,14.6627,68.24917,PB,NA,0.17,17,Whole soft body,SB,1
3699,Mytilus edulis,I023,Singlekalven, Hvaler,11.136779,59.095112,PB,NA,0.067,17,Whole soft body,SB,1
3699,Mytilus edulis,I024,Kirkøy, Hvaler,10.987336,59.079053,PB,NA,0.325,17,Whole soft body,SB,1
3699,Mytilus edulis,I131A,Lastad, Søgne,7.7083,58.05557,PB,NA,0.27,17,Whole soft body,SB,1
3699,Mytilus edulis,I133,Odderøya, Kristiansand harbour,8.00166666666667,58.1316666666667,PB,NA,2.8,17,Whole soft body,SB,1
3699,Mytilus edulis,I241,Nordnes, Bergen harbour,5.303955,60.4007721666667,PB,NA,0.63,17,Whole soft body,SB,3
3699,Mytilus edulis,I301,Akershuskaia, Inner Oslofjord,10.7363333333333,59.9053333333333,PB,NA,0.3,17,Whole soft body,SB,1
3699,Mytilus edulis,I304,Gåsøya, Inner Oslofjord,10.589,59.8513333333333,PB,NA,0.38,17,Whole soft body,SB,1
3699,Mytilus edulis,I306,Håøya, Inner Oslofjord,10.5551666666667,59.7133333333333,PB,NA,0.17,17,Whole soft body,SB,1
3699,Mytilus edulis,I714,Sylterøya, Langesundfjord,9.70384,59.0514,PB,NA,0.18,17,Whole soft body,SB,0
3699,Mytilus edulis,I964,NA,NA,NA,PB,NA,0.73,17,Whole soft body,SB,3
3699,Mytilus edulis,I965,Moholmen, Inner Ranfjord,14.12537,66.31162,PB,NA,1.8,17,Whole soft body,SB,3
3699,Mytilus edulis,I969,Bjørnbærviken,  Inner Ranfjord,14.0349,66.28022,PB,NA,0.22,17,Whole soft body,SB,3
